employee_id,gender,age,education,recruitment_channel,length_of_service
15161,Female,43,Masters & above,other,6
59084,Female,42,Masters & above,other,13
53857,Male,41,Bachelors,other,8
42772,Female,27,Bachelors,other,2
5294,Male,41,Bachelors,sourcing,9
56439,Male,26,Bachelors,other,2
29998,Male,35,Bachelors,other,10
76599,Female,28,Bachelors,sourcing,3
27424,Female,50,Bachelors,sourcing,9
45605,Male,29,Masters & above,other,1
75833,Male,37,Masters & above,other,10
57068,Male,35,Bachelors,other,8
70129,Female,29,Masters & above,other,4
14733,Female,36,Bachelors,sourcing,8
71886,Male,22,Below Secondary,other,1
7561,Male,36,Bachelors,other,3
59522,Female,37,Bachelors,other,2
44299,Male,30,Bachelors,other,4
29220,Male,26,Bachelors,sourcing,2
15869,Female,28,Bachelors,sourcing,3
51270,Male,49,Bachelors,other,9
14778,Male,29,Bachelors,other,2
19212,Male,35,Masters & above,other,7
70890,Male,32,Bachelors,other,6
31183,Female,42,Masters & above,sourcing,4
46628,Male,37,Masters & above,other,5
44670,Male,28,Bachelors,other,2
70734,Male,38,Bachelors,other,2
47051,Male,39,Bachelors,sourcing,5
17760,Male,28,Bachelors,other,2
8180,Male,34,Bachelors,other,10
24756,Female,37,Bachelors,other,3
56780,Female,38,Masters & above,sourcing,6
59919,Female,24,Bachelors,sourcing,2
18924,Male,36,Masters & above,other,7
42477,Male,41,Bachelors,other,15
50900,Male,29,Bachelors,other,1
11824,Female,59,Masters & above,sourcing,15
51740,Female,29,Bachelors,sourcing,1
51364,Female,29,Bachelors,other,3
64265,Female,31,Bachelors,sourcing,5
46233,Male,31,Bachelors,sourcing,7
41215,Female,31,Bachelors,sourcing,3
47172,Male,32,Bachelors,other,4
53542,Female,49,Bachelors,other,8
2121,Male,42,Masters & above,other,11
77677,Male,32,Bachelors,other,7
38018,Male,30,Bachelors,other,4
29799,Male,32,Bachelors,other,8
565,Female,29,Bachelors,sourcing,2
33473,Male,31,Bachelors,sourcing,6
14628,Male,27,Bachelors,other,1
46339,Male,30,Bachelors,other,2
6352,Female,48,Bachelors,sourcing,8
63568,Male,39,Bachelors,sourcing,12
15317,Male,35,Masters & above,sourcing,7
63035,Female,47,Bachelors,other,7
22942,Male,46,Masters & above,other,3
62212,Female,37,Masters & above,other,2
49252,Male,26,Bachelors,other,6
38520,Female,31,Bachelors,sourcing,4
65459,Male,26,Bachelors,other,1
69109,Female,28,Bachelors,other,4
67985,Female,36,Masters & above,sourcing,6
74040,Female,35,Masters & above,other,7
31049,Male,34,Bachelors,sourcing,9
55523,Male,58,Masters & above,sourcing,6
40579,Male,29,Masters & above,sourcing,5
40211,Male,36,Bachelors,other,9
41982,Male,30,Bachelors,sourcing,4
24286,Female,40,Masters & above,other,10
53696,Male,38,Bachelors,other,4
47130,Male,36,Bachelors,other,5
25340,Male,41,Bachelors,other,9
16794,Male,33,Masters & above,other,5
10399,Male,29,Bachelors,sourcing,4
9095,Female,33,Masters & above,other,8
60624,Female,41,Masters & above,other,2
30188,Male,41,Masters & above,other,10
19292,Male,41,Masters & above,other,4
58780,Female,28,Bachelors,other,5
33674,Female,32,Masters & above,sourcing,7
17128,Male,25,Bachelors,other,3
28127,Female,24,Below Secondary,sourcing,2
42650,Male,53,Bachelors,other,10
58393,Male,38,Masters & above,sourcing,12
72037,Male,31,Bachelors,sourcing,3
33736,Female,51,Bachelors,other,17
51260,Male,42,Masters & above,sourcing,4
21326,Male,56,Masters & above,other,16
7784,Male,48,Bachelors,other,9
33540,Male,56,Masters & above,sourcing,2
14669,Male,27,Bachelors,referred,1
53267,Male,31,Bachelors,other,6
51294,Male,33,Masters & above,sourcing,3
4208,Male,36,Masters & above,referred,4
64266,Female,38,Masters & above,other,4
57995,Male,36,Bachelors,other,4
76317,Female,50,Bachelors,sourcing,21
32169,Male,40,Bachelors,sourcing,3
22403,Female,26,Below Secondary,other,2
18775,Male,27,Bachelors,sourcing,3
7007,Male,54,Masters & above,other,21
58836,Female,29,Bachelors,other,7
67403,Male,31,Bachelors,sourcing,4
34371,Male,45,Masters & above,other,15
17603,Male,29,Bachelors,sourcing,1
72636,Male,39,Masters & above,other,5
44193,Male,20,Bachelors,other,1
41162,Male,28,Bachelors,other,2
42939,Male,42,Bachelors,other,4
37227,Male,33,Bachelors,other,3
34986,Male,33,Bachelors,sourcing,4
10473,Male,25,Bachelors,sourcing,2
42833,Male,29,Bachelors,other,2
39224,Male,28,Bachelors,other,2
34148,Male,33,Masters & above,other,3
65558,Male,32,Bachelors,sourcing,6
63986,Female,32,Masters & above,other,5
31641,Male,37,Bachelors,other,4
45087,Male,35,Bachelors,other,8
63354,Female,56,Bachelors,other,12
41610,Male,28,Bachelors,other,2
10376,Male,39,Bachelors,other,10
11414,Male,40,Masters & above,other,11
32884,Male,36,Masters & above,other,9
71007,Male,36,Bachelors,other,11
43891,Male,30,Bachelors,other,5
26769,Male,43,Bachelors,sourcing,9
23022,Female,39,Bachelors,sourcing,11
56684,Female,32,Masters & above,other,6
24951,Male,43,Bachelors,other,11
8810,Female,34,Bachelors,sourcing,6
77266,Male,29,Bachelors,sourcing,1
33334,Male,47,Bachelors,other,9
29911,Male,38,Masters & above,other,9
42142,Female,30,Bachelors,sourcing,6
29467,Female,29,Bachelors,other,3
11784,Male,36,Bachelors,other,9
29776,Male,40,Masters & above,other,7
10563,Male,33,Bachelors,sourcing,3
6736,Female,35,Bachelors,sourcing,5
441,Male,23,Bachelors,sourcing,2
14980,Male,26,Bachelors,other,2
13549,Male,38,Bachelors,sourcing,8
1348,Male,38,Masters & above,sourcing,10
14948,Male,29,Bachelors,sourcing,6
12723,Male,23,Bachelors,sourcing,1
22827,Female,41,Bachelors,sourcing,4
30527,Male,29,Bachelors,other,1
38928,Male,29,Bachelors,sourcing,2
17420,Male,31,Masters & above,other,9
72878,Female,56,Masters & above,other,4
43657,Male,24,Bachelors,other,3
38588,Male,50,Masters & above,other,15
55236,Male,36,Masters & above,sourcing,4
339,Male,36,Bachelors,other,10
30270,Female,42,Bachelors,sourcing,14
52076,Male,45,Bachelors,sourcing,14
36458,Male,30,Bachelors,other,2
27999,Male,28,Bachelors,sourcing,2
57114,Female,46,Masters & above,sourcing,16
25603,Female,55,Masters & above,other,14
71930,Male,35,Masters & above,sourcing,10
23945,Female,58,Bachelors,other,2
22469,Male,35,Masters & above,sourcing,7
34891,Male,30,Bachelors,other,7
17506,Male,27,Bachelors,sourcing,4
32124,Female,29,Bachelors,sourcing,4
48160,Male,34,Bachelors,other,3
30792,Male,40,Masters & above,other,2
76840,Male,33,Masters & above,sourcing,4
27844,Female,40,Masters & above,other,4
32595,Male,34,Bachelors,other,6
68808,Female,25,Bachelors,sourcing,1
66391,Male,28,Bachelors,sourcing,6
18212,Male,29,Bachelors,sourcing,8
51051,Male,41,Bachelors,sourcing,4
60375,Male,43,Masters & above,sourcing,15
8495,Male,36,Masters & above,other,5
61193,Male,26,Below Secondary,other,1
18612,Male,26,Bachelors,other,1
50665,Female,38,Bachelors,sourcing,6
50512,Female,37,Masters & above,other,8
6621,Male,35,Bachelors,sourcing,8
10992,Female,29,Bachelors,referred,6
10742,Male,42,Bachelors,sourcing,3
33326,Male,35,Masters & above,other,10
28711,Male,30,Bachelors,other,7
16466,Male,33,Bachelors,sourcing,6
71692,Male,29,Bachelors,sourcing,3
60158,Female,22,Below Secondary,other,1
5296,Male,27,Bachelors,sourcing,3
1415,Male,24,Bachelors,other,1
376,Male,36,Bachelors,other,7
11139,Female,34,Bachelors,other,8
21667,Male,40,Masters & above,sourcing,4
52771,Female,27,Bachelors,other,3
30283,Male,31,Bachelors,other,4
33431,Male,34,Masters & above,sourcing,3
10860,Male,32,Bachelors,other,2
76614,Female,29,Bachelors,sourcing,1
52246,Female,28,Bachelors,other,5
16337,Female,44,Masters & above,other,16
21160,Male,26,Bachelors,sourcing,4
30888,Female,27,Bachelors,other,2
41543,Female,38,Bachelors,other,3
68619,Male,30,Bachelors,sourcing,4
46124,Male,29,Bachelors,sourcing,1
9454,Male,40,Bachelors,sourcing,2
48316,Male,35,Masters & above,other,11
61103,Female,42,Masters & above,other,17
46772,Male,39,Masters & above,other,9
62688,Female,31,Bachelors,other,4
53821,Female,29,Bachelors,sourcing,1
67083,Male,31,Bachelors,sourcing,4
10508,Male,31,Bachelors,sourcing,3
42182,Female,31,Bachelors,other,3
51295,Female,41,Masters & above,other,8
26017,Female,35,Masters & above,other,3
38656,Male,33,Bachelors,sourcing,2
1210,Female,35,Masters & above,other,5
52205,Male,41,Masters & above,other,9
18776,Male,38,Masters & above,sourcing,9
39588,Male,31,Bachelors,other,5
2066,Male,29,Bachelors,sourcing,6
7952,Male,45,Masters & above,other,7
28286,Male,36,Bachelors,sourcing,9
15837,Male,29,Bachelors,other,2
41908,Male,44,Masters & above,sourcing,4
28766,Male,32,Bachelors,sourcing,3
35922,Female,41,Bachelors,other,5
44582,Female,29,Bachelors,other,1
42485,Female,30,Bachelors,other,4
71289,Male,29,Bachelors,other,1
47556,Male,27,Bachelors,other,3
27264,Male,24,Bachelors,other,1
50266,Male,30,Bachelors,sourcing,5
77122,Male,34,Masters & above,other,5
45635,Female,32,Bachelors,other,2
57502,Female,31,Bachelors,other,3
26262,Male,35,Bachelors,other,7
74374,Male,31,Bachelors,sourcing,10
34661,Male,30,Bachelors,other,5
38450,Female,54,Masters & above,sourcing,11
31134,Male,33,Bachelors,other,8
27968,Male,36,Masters & above,sourcing,2
36271,Female,34,Bachelors,other,6
3316,Male,60,Bachelors,sourcing,12
35219,Male,37,Bachelors,other,5
52701,Female,34,Masters & above,sourcing,7
8654,Male,28,Bachelors,sourcing,2
7551,Male,37,Bachelors,other,4
18778,Female,52,Bachelors,sourcing,11
74667,Female,36,Bachelors,sourcing,7
57527,Male,27,Bachelors,sourcing,2
1726,Male,33,Bachelors,sourcing,2
60191,Male,46,Masters & above,other,15
30623,Male,32,Bachelors,other,4
67366,Female,42,Masters & above,sourcing,4
38917,Male,28,Bachelors,other,5
15689,Male,31,Masters & above,sourcing,5
18286,Male,43,Bachelors,sourcing,5
63660,Female,35,Bachelors,sourcing,8
32232,Female,54,Bachelors,other,12
56976,Male,40,Bachelors,sourcing,5
64644,Female,32,Masters & above,other,7
39204,Male,32,Bachelors,other,8
47141,Male,41,Bachelors,sourcing,12
26883,Male,29,Bachelors,sourcing,5
9890,Male,25,Bachelors,other,1
50095,Male,28,Bachelors,other,5
16145,Male,36,Bachelors,other,10
24190,Male,55,Bachelors,other,15
17777,Male,39,Masters & above,other,6
3339,Male,59,Bachelors,sourcing,18
11436,Male,27,Bachelors,sourcing,2
40457,Male,34,Bachelors,sourcing,8
4730,Female,29,Bachelors,other,2
10380,Male,32,Bachelors,other,4
6891,Male,31,Masters & above,other,4
40575,Female,32,Bachelors,sourcing,9
60937,Male,40,Masters & above,sourcing,11
50037,Male,28,Bachelors,other,3
3066,Male,37,Masters & above,sourcing,8
18712,Female,27,Bachelors,sourcing,2
68494,Male,29,Bachelors,other,3
74119,Male,32,Bachelors,other,9
76254,Male,39,Masters & above,sourcing,16
49402,Male,35,Bachelors,other,7
8141,Male,34,Bachelors,other,6
3076,Female,34,Bachelors,other,7
14390,Female,35,Masters & above,sourcing,8
66964,Female,32,Bachelors,sourcing,2
67091,Female,37,Bachelors,sourcing,7
13164,Male,34,Masters & above,sourcing,7
21190,Male,30,Bachelors,other,3
21432,Female,40,Bachelors,other,10
2096,Female,29,Bachelors,sourcing,5
53808,Male,56,Masters & above,sourcing,22
9751,Male,26,Bachelors,other,1
59105,Male,33,Bachelors,sourcing,8
76796,Female,30,Bachelors,sourcing,3
49192,Female,27,Bachelors,referred,2
45888,Male,33,Bachelors,other,7
12492,Male,28,Bachelors,other,1
72963,Female,30,Bachelors,other,6
53303,Female,58,Bachelors,sourcing,5
53081,Female,36,Bachelors,other,3
23930,Male,37,Bachelors,sourcing,9
51938,Male,27,Bachelors,other,4
29280,Male,49,Bachelors,sourcing,19
7689,Male,30,Bachelors,sourcing,4
16924,Female,34,Masters & above,other,5
40162,Male,23,Bachelors,sourcing,1
8648,Male,42,Masters & above,other,5
57036,Male,26,Bachelors,other,3
69859,Female,37,Bachelors,other,3
31492,Male,27,Bachelors,sourcing,2
3964,Male,36,Bachelors,other,7
20962,Male,35,Masters & above,other,2
16434,Female,34,Bachelors,sourcing,7
28860,Male,34,Masters & above,sourcing,8
28665,Male,51,Masters & above,sourcing,22
1561,Male,31,Bachelors,sourcing,6
72856,Female,44,Bachelors,other,3
28596,Male,26,Bachelors,sourcing,4
52840,Male,28,Bachelors,sourcing,2
73807,Female,59,Masters & above,other,11
1089,Male,23,Below Secondary,other,2
20345,Male,27,Bachelors,other,5
59325,Male,35,Bachelors,sourcing,8
45294,Male,58,Masters & above,other,18
61412,Male,35,Bachelors,other,4
29033,Male,30,Bachelors,sourcing,4
41735,Female,32,Masters & above,sourcing,4
64996,Male,27,Bachelors,sourcing,3
10388,Male,26,Bachelors,other,1
20001,Female,54,Masters & above,referred,6
47942,Male,40,Bachelors,sourcing,8
5232,Female,29,Bachelors,other,2
7097,Male,29,Bachelors,referred,2
61335,Female,36,Masters & above,other,4
61360,Female,31,Bachelors,other,3
429,Female,28,Bachelors,other,1
54187,Male,34,Bachelors,other,8
18493,Male,33,Bachelors,other,5
23130,Male,26,Bachelors,sourcing,2
16180,Male,33,Bachelors,sourcing,6
5133,Male,27,Bachelors,referred,3
54456,Male,26,Bachelors,other,3
62197,Male,28,Bachelors,sourcing,3
50861,Male,34,Masters & above,referred,10
40356,Male,42,Bachelors,other,11
68967,Male,49,Masters & above,other,13
49181,Male,37,Bachelors,other,9
19572,Male,42,Masters & above,sourcing,10
58731,Female,38,Masters & above,other,7
32167,Female,28,Bachelors,other,3
3435,Male,33,Masters & above,sourcing,6
7389,Male,42,Masters & above,other,12
44860,Male,34,Masters & above,sourcing,3
72065,Male,22,Below Secondary,other,2
49353,Male,29,Bachelors,sourcing,4
42688,Male,38,Masters & above,other,3
4019,Male,40,Masters & above,sourcing,11
64023,Male,38,Masters & above,sourcing,8
30034,Female,34,Bachelors,other,9
6907,Male,32,Masters & above,other,5
14810,Male,33,Bachelors,other,4
17629,Male,39,Bachelors,other,12
7003,Male,41,Bachelors,sourcing,11
59100,Male,34,Bachelors,other,7
73651,Female,43,Masters & above,other,14
65300,Male,43,Bachelors,other,6
38796,Male,56,Bachelors,sourcing,15
17133,Female,28,Bachelors,other,4
10552,Female,33,Bachelors,other,2
58271,Male,35,Bachelors,sourcing,8
42387,Male,35,Bachelors,sourcing,9
19737,Male,36,Masters & above,sourcing,3
35156,Male,27,Bachelors,other,1
68576,Male,32,Bachelors,sourcing,6
62951,Male,32,Bachelors,other,8
76794,Male,30,Bachelors,other,2
39736,Male,49,Bachelors,sourcing,7
73402,Female,50,Bachelors,sourcing,8
30749,Female,25,Bachelors,other,2
49089,Male,42,Masters & above,other,7
57203,Female,29,Bachelors,sourcing,4
37385,Male,25,Below Secondary,other,1
14101,Male,29,Bachelors,sourcing,6
31036,Female,33,Bachelors,sourcing,7
66566,Female,49,Bachelors,other,16
2283,Male,34,Masters & above,sourcing,10
35086,Male,38,Bachelors,sourcing,8
66082,Male,60,Bachelors,sourcing,3
34105,Male,38,Bachelors,other,4
14599,Male,30,Bachelors,sourcing,2
21293,Male,31,Bachelors,other,9
44127,Female,37,Bachelors,other,3
17522,Male,27,Bachelors,sourcing,1
23708,Male,32,Bachelors,sourcing,8
64845,Male,31,Bachelors,sourcing,5
38638,Male,33,Bachelors,other,7
62916,Male,42,Bachelors,other,7
18984,Male,33,Bachelors,other,5
35872,Female,34,Masters & above,other,7
8019,Male,54,Bachelors,sourcing,8
6358,Male,33,Bachelors,other,5
53023,Male,38,Bachelors,sourcing,10
32026,Female,33,Bachelors,other,10
32170,Male,23,Bachelors,other,1
46737,Male,41,Masters & above,sourcing,3
21112,Male,37,Bachelors,sourcing,3
12594,Male,46,Masters & above,other,18
9049,Male,29,Bachelors,other,1
48577,Male,30,Bachelors,sourcing,5
9087,Male,54,Masters & above,other,3
74296,Female,37,Masters & above,sourcing,11
13640,Male,47,Masters & above,sourcing,17
65412,Female,33,Masters & above,sourcing,2
17816,Male,30,Bachelors,sourcing,5
50036,Male,28,Bachelors,other,2
34158,Male,36,Bachelors,other,4
30033,Male,28,Bachelors,sourcing,1
74401,Male,41,Bachelors,other,5
73296,Male,29,Bachelors,sourcing,5
41847,Female,28,Bachelors,sourcing,1
28456,Male,25,Bachelors,sourcing,1
55643,Male,48,Bachelors,sourcing,5
40689,Female,29,Bachelors,other,7
41087,Female,52,Bachelors,other,5
56409,Male,39,Masters & above,sourcing,14
28892,Female,30,Bachelors,other,6
22658,Female,30,Bachelors,sourcing,6
34021,Female,25,Bachelors,sourcing,1
29419,Male,43,Masters & above,sourcing,4
65630,Male,25,Bachelors,other,1
18809,Male,26,Bachelors,other,3
59695,Male,33,Bachelors,other,7
39585,Female,38,Bachelors,other,4
30356,Female,27,Bachelors,other,2
78175,Male,29,Bachelors,sourcing,5
23668,Male,40,Masters & above,sourcing,4
50441,Male,44,Masters & above,other,15
52311,Male,33,Masters & above,other,4
19576,Male,33,Bachelors,sourcing,5
39982,Female,49,Masters & above,other,5
23338,Male,28,Bachelors,other,4
58769,Male,27,Bachelors,other,6
65210,Male,34,Bachelors,sourcing,8
70168,Male,42,Bachelors,other,14
44136,Male,56,Bachelors,sourcing,23
19098,Male,31,Bachelors,other,4
19826,Male,36,Bachelors,sourcing,7
68896,Male,39,Bachelors,other,8
22540,Female,33,Masters & above,sourcing,7
52630,Male,53,Masters & above,other,13
42249,Male,31,Bachelors,sourcing,3
41645,Female,49,Masters & above,other,21
60352,Male,37,Bachelors,sourcing,7
24168,Male,30,Masters & above,other,5
77703,Male,32,Bachelors,sourcing,9
52005,Male,39,Bachelors,other,5
22821,Male,37,Masters & above,other,5
33963,Male,47,Bachelors,other,16
55903,Male,38,Masters & above,other,5
70360,Female,31,Bachelors,other,2
21163,Male,31,Bachelors,other,6
52351,Male,38,Bachelors,sourcing,5
57632,Female,31,Bachelors,sourcing,10
67448,Male,29,Bachelors,other,1
21018,Male,34,Masters & above,other,8
30307,Male,38,Bachelors,other,10
51006,Male,60,Bachelors,sourcing,23
59242,Male,34,Bachelors,other,6
19353,Male,44,Bachelors,other,9
25940,Male,27,Bachelors,sourcing,1
33400,Male,25,Bachelors,other,2
46896,Male,38,Bachelors,sourcing,10
65389,Male,37,Bachelors,sourcing,9
31886,Male,36,Bachelors,other,9
62107,Male,37,Bachelors,other,9
62662,Male,43,Bachelors,sourcing,17
77743,Male,27,Bachelors,other,1
54888,Male,38,Bachelors,other,10
6878,Female,57,Masters & above,other,16
71343,Male,40,Masters & above,other,10
