fact_id,employee_id,department_id,region_id,KPIs_met_more_than_80,awards_won,avg_training_score,previous_year_rating,no_of_trainings
74,51972,6,6,0,0,85.0,4.0,1
75,60572,3,4,0,0,50.0,1.0,1
76,9548,6,7,0,0,87.0,4.0,2
77,64,6,2,1,0,80.0,5.0,1
78,35510,4,5,0,0,68.0,3.0,1
79,10732,6,4,1,0,92.0,5.0,1
80,9214,7,24,0,0,58.0,3.0,1
81,10761,2,4,1,0,51.0,5.0,1
82,32110,3,22,0,0,48.0,2.0,1
83,50038,2,5,1,0,49.0,3.0,1
84,1555,1,6,1,0,80.0,3.0,1
85,21200,1,3,0,0,79.0,3.0,1
86,50380,2,9,0,0,48.0,4.0,1
87,45009,6,5,1,0,86.0,3.0,1
88,65450,1,4,0,0,83.0,2.0,2
89,77333,7,4,0,0,57.0,4.0,1
90,2347,6,23,1,0,82.0,5.0,2
91,8443,9,7,0,0,86.0,4.0,2
92,39490,7,7,0,0,55.0,3.0,1
93,69077,1,10,0,0,81.0,3.0,1
94,64652,4,6,0,0,72.0,4.0,1
95,5254,3,25,1,0,43.0,3.0,1
96,71131,5,7,1,0,60.0,5.0,1
97,19620,4,3,0,0,69.0,3.0,1
98,41266,3,18,0,0,47.0,1.0,1
99,11001,3,26,0,0,50.0,5.0,1
100,28530,7,7,1,0,57.0,3.0,1
101,72481,3,3,0,0,48.0,4.0,1
102,67417,6,5,0,0,82.0,5.0,1
103,51840,6,7,1,0,86.0,3.3454590756197833,1
104,43223,8,7,1,0,59.0,3.3454590756197833,1
105,40287,3,4,1,0,53.0,1.0,1
106,29367,3,6,0,0,49.0,3.0,3
107,36352,4,7,1,0,72.0,5.0,1
108,29681,6,20,0,0,84.0,3.0,1
109,30233,3,23,0,0,50.0,4.0,1
110,66601,7,3,0,0,60.0,3.0,2
111,40276,9,7,1,0,88.0,5.0,2
112,1522,7,3,0,0,60.0,3.0,1
113,17936,6,5,0,0,83.0,3.0,1
114,26270,1,23,0,0,81.0,1.0,1
115,6837,3,2,0,0,48.0,3.0,3
116,49665,7,17,1,0,59.0,1.0,1
117,1908,6,2,1,0,88.0,4.0,1
118,6474,4,4,0,0,68.0,1.0,1
119,27495,7,4,0,0,69.0,3.0,2
120,24324,7,16,1,0,62.0,3.0,1
121,14299,4,4,1,0,69.0,4.0,1
122,56246,7,4,0,0,59.0,5.0,1
123,3901,1,3,0,0,88.0,5.0,1
124,41566,5,14,0,0,59.0,3.0,1
125,55735,1,19,0,1,81.0,5.0,1
126,53627,4,6,1,0,65.0,3.0,1
127,62683,7,12,0,0,57.0,3.0,1
128,42719,6,27,0,0,80.0,3.3454590756197833,1
129,44948,7,28,1,0,56.0,5.0,1
130,26037,6,8,1,0,81.0,3.0,2
131,30607,6,7,1,0,85.0,5.0,1
132,46103,1,23,0,0,77.0,3.0,1
133,6452,5,4,1,0,62.0,4.0,1
134,47286,4,3,0,0,68.0,3.0,1
135,44117,5,2,0,0,58.0,3.0,1
136,1367,3,3,1,0,51.0,4.0,1
137,26228,3,7,1,0,50.0,1.0,3
138,65694,1,4,0,0,82.0,1.0,1
139,2721,6,7,1,0,86.0,5.0,2
140,63901,2,6,0,0,66.0,2.0,1
141,4701,1,1,1,0,86.0,1.0,1
142,35341,4,2,0,0,68.0,3.0,4
143,3203,3,4,0,0,50.0,4.0,1
144,10361,2,4,1,0,53.0,5.0,1
145,6572,7,5,1,0,58.0,5.0,1
146,70408,3,1,0,0,53.0,4.0,1
147,11774,4,14,1,0,71.0,5.0,1
148,37873,3,6,0,0,50.0,4.0,1
149,3886,3,4,0,0,45.0,4.0,2
150,23347,1,13,0,0,78.0,3.0,4
151,3034,4,4,0,0,73.0,4.0,1
152,30137,3,29,0,0,63.0,5.0,1
153,52431,3,28,0,0,51.0,3.0,1
154,11061,1,30,1,0,81.0,3.0,1
155,9706,3,27,0,0,53.0,3.3454590756197833,1
156,17607,6,4,0,0,82.0,4.0,1
157,64986,7,6,1,0,62.0,5.0,1
158,8082,5,3,0,0,59.0,3.0,1
159,20982,4,7,1,0,68.0,4.0,2
160,5794,7,4,0,0,62.0,3.0,1
161,69381,3,1,1,0,52.0,5.0,1
162,50176,2,12,0,0,51.0,3.3454590756197833,1
163,1612,2,23,0,0,50.0,3.3454590756197833,1
164,48923,3,4,1,0,48.0,4.0,1
165,50366,3,7,1,0,45.0,3.3454590756197833,1
166,48813,2,4,0,0,53.0,4.0,1
167,5574,3,17,0,0,45.0,3.0,1
168,57601,2,4,1,0,53.0,3.0,1
169,26788,3,1,0,0,51.0,1.0,1
170,564,7,31,0,0,58.0,3.0,1
171,3864,6,3,0,0,82.0,4.0,1
172,19598,1,21,0,0,79.0,3.0,2
173,19513,6,32,1,0,84.0,3.3454590756197833,1
174,74965,1,23,1,0,82.0,4.0,1
175,42353,3,13,1,0,47.0,3.3454590756197833,1
176,13367,3,18,0,0,51.0,5.0,1
177,38556,2,7,0,0,52.0,3.0,1
178,51344,7,1,1,0,58.0,3.0,1
179,28320,4,4,0,0,70.0,4.0,1
180,56104,4,2,0,0,71.0,3.0,4
181,68882,7,7,0,0,59.0,4.0,2
182,75800,3,4,1,0,45.0,4.0,1
183,13223,9,6,0,0,85.0,3.0,1
184,62740,3,22,1,0,46.0,3.0,1
185,67233,6,31,0,0,82.0,3.0,1
186,49207,4,7,0,0,70.0,2.0,1
187,19053,7,31,0,0,60.0,5.0,1
188,38096,6,7,0,0,83.0,3.3454590756197833,2
189,46519,3,18,0,0,47.0,4.0,1
190,2111,4,4,0,0,84.0,5.0,1
191,69413,3,18,0,0,51.0,3.0,1
192,53827,3,23,0,0,50.0,3.3454590756197833,2
193,40064,2,6,1,0,49.0,5.0,1
194,33502,3,6,0,0,47.0,2.0,1
195,15182,1,18,0,0,80.0,3.0,1
196,13593,6,1,1,0,84.0,5.0,1
197,15613,9,4,0,0,84.0,3.0,2
198,75751,3,1,0,0,49.0,4.0,2
199,71625,4,7,1,0,66.0,2.0,1
200,37763,3,22,1,0,48.0,4.0,1
201,10812,7,23,1,0,59.0,5.0,1
202,67357,5,4,1,0,58.0,5.0,2
203,49583,3,1,1,0,47.0,4.0,1
204,45428,2,7,0,0,45.0,1.0,1
205,9978,7,4,0,0,60.0,3.3454590756197833,2
206,44266,3,6,0,0,51.0,2.0,1
207,47252,5,4,1,0,58.0,3.3454590756197833,1
208,57884,7,4,0,0,61.0,3.0,1
209,24334,8,7,1,0,54.0,5.0,1
210,58892,7,31,0,0,55.0,4.0,1
211,40799,7,7,0,0,57.0,4.0,2
212,33879,3,7,1,0,48.0,5.0,2
213,24403,4,3,0,0,69.0,3.0,1
214,51150,4,23,0,0,69.0,5.0,1
215,7722,9,1,0,0,82.0,5.0,1
216,71271,1,3,1,0,81.0,4.0,1
217,56772,3,7,1,0,53.0,3.3454590756197833,2
218,65909,7,4,1,0,63.0,5.0,1
219,8228,3,18,0,0,50.0,1.0,1
220,52138,6,8,0,0,83.0,3.0,1
221,22999,5,22,1,0,57.0,4.0,2
222,29196,4,12,1,0,71.0,2.0,1
223,10663,8,32,1,0,58.0,3.3454590756197833,2
224,65651,8,4,1,0,62.0,3.3454590756197833,1
225,17973,7,32,0,0,67.0,3.0,1
226,10986,3,6,1,0,52.0,5.0,1
227,19355,1,30,0,0,79.0,4.0,1
228,75402,6,10,0,0,87.0,3.0,1
229,52587,4,4,0,0,70.0,2.0,1
230,41662,4,14,0,0,69.0,3.0,1
231,73944,7,12,1,0,61.0,1.0,1
232,3987,6,5,0,0,84.0,2.0,1
233,40057,4,4,1,0,71.0,3.0,1
234,76195,4,4,0,0,76.0,3.3454590756197833,1
235,12411,4,11,1,0,66.0,3.0,1
236,15161,1,4,1,0,80.0,3.0,1
237,59084,6,4,1,0,85.0,5.0,1
238,53857,2,6,1,0,54.0,3.0,1
239,42772,1,11,0,0,84.0,3.0,1
240,5294,5,4,0,0,56.0,4.0,1
241,56439,1,16,1,0,76.0,5.0,1
242,29998,6,15,1,0,85.0,5.0,1
243,76599,3,22,0,0,58.0,1.0,1
244,27424,2,4,0,0,46.0,1.0,1
245,45605,3,7,1,1,46.0,3.3454590756197833,1
246,75833,3,6,0,0,49.0,1.0,2
247,57068,7,2,1,0,64.0,3.0,2
248,70129,3,22,0,0,51.0,4.0,1
249,14733,3,32,0,0,47.0,5.0,1
250,71886,1,21,1,0,79.0,3.3454590756197833,1
251,7561,5,4,0,0,55.0,3.0,1
252,59522,7,7,0,0,71.0,4.0,2
253,44299,6,5,0,0,83.0,3.0,1
254,29220,5,4,0,0,54.0,2.0,2
255,15869,4,3,1,0,68.0,5.0,2
256,51270,7,23,0,0,61.0,4.0,1
257,14778,6,7,1,0,84.0,5.0,1
258,19212,4,27,1,0,70.0,5.0,1
259,70890,1,10,0,0,90.0,2.0,1
260,31183,3,22,0,0,54.0,3.0,1
261,46628,1,2,0,0,76.0,4.0,1
262,44670,3,5,0,0,45.0,5.0,1
263,70734,4,23,1,1,97.0,4.0,1
264,47051,6,4,1,0,86.0,4.0,2
265,17760,6,12,1,0,87.0,5.0,1
266,8180,7,18,0,0,60.0,3.0,2
267,24756,7,7,0,0,63.0,3.0,1
268,56780,3,4,0,0,51.0,1.0,2
269,59919,5,4,1,0,57.0,5.0,1
270,18924,3,11,0,0,52.0,3.0,1
271,42477,4,4,0,0,70.0,2.0,1
272,50900,7,7,0,0,60.0,3.3454590756197833,2
273,11824,1,4,0,0,76.0,1.0,2
274,51740,3,26,0,0,48.0,3.0,1
275,51364,7,7,0,0,57.0,5.0,1
276,64265,3,3,0,0,51.0,1.0,3
277,46233,3,22,0,0,51.0,5.0,1
278,41215,3,25,0,0,50.0,4.0,1
279,47172,3,1,1,0,47.0,3.0,1
280,53542,4,1,0,0,68.0,4.0,1
281,2121,7,4,0,0,59.0,5.0,1
282,77677,3,11,1,0,49.0,5.0,1
283,38018,6,11,0,0,80.0,3.0,1
284,29799,6,2,0,0,86.0,5.0,1
285,565,4,33,0,0,74.0,1.0,2
286,33473,3,4,0,0,50.0,1.0,2
287,14628,3,14,1,1,48.0,3.3454590756197833,2
288,46339,7,15,1,0,58.0,3.0,1
289,6352,7,4,1,0,60.0,4.0,1
290,63568,3,4,0,0,50.0,5.0,1
291,15317,6,16,1,0,87.0,2.0,1
292,63035,1,4,0,0,78.0,4.0,1
293,22942,3,19,1,0,51.0,5.0,1
294,62212,4,19,1,1,97.0,3.0,1
295,49252,7,20,1,0,60.0,5.0,1
296,38520,1,32,1,0,87.0,5.0,1
297,65459,7,12,1,0,56.0,3.3454590756197833,1
298,69109,4,14,0,0,69.0,2.0,1
299,67985,7,2,1,1,65.0,1.0,2
300,74040,1,10,0,0,80.0,1.0,1
301,31049,6,3,0,0,84.0,4.0,1
302,55523,6,4,1,0,81.0,5.0,2
303,40579,3,7,1,0,50.0,2.0,1
304,40211,7,3,0,0,59.0,2.0,1
305,41982,9,4,0,0,84.0,1.0,1
306,24286,2,4,0,0,49.0,3.0,1
307,53696,4,23,1,0,71.0,3.0,1
308,47130,3,11,0,0,52.0,2.0,1
309,25340,3,4,0,0,49.0,4.0,1
310,16794,4,7,1,0,66.0,5.0,1
311,10399,1,19,0,0,79.0,1.0,1
312,9095,7,7,1,0,81.0,4.0,1
313,60624,3,6,0,0,47.0,1.0,1
314,30188,4,4,0,0,67.0,3.0,2
315,19292,7,3,0,0,60.0,3.0,1
316,58780,1,6,1,0,76.0,4.0,1
317,33674,3,6,1,0,53.0,5.0,1
318,17128,1,17,0,0,77.0,3.0,1
319,28127,1,3,0,0,85.0,2.0,1
320,42650,3,6,1,0,45.0,4.0,1
321,58393,3,25,1,0,49.0,5.0,1
322,72037,8,7,0,0,62.0,3.0,1
323,33736,3,4,0,0,52.0,3.0,2
324,51260,7,18,0,0,59.0,3.0,1
325,21326,7,4,1,0,59.0,5.0,1
326,7784,3,2,0,0,46.0,4.0,1
327,33540,4,4,1,0,65.0,3.0,1
328,14669,1,1,0,0,79.0,3.3454590756197833,1
329,53267,9,1,0,0,84.0,4.0,1
330,51294,4,7,0,0,72.0,3.0,2
331,4208,1,6,1,0,80.0,4.0,1
332,64266,4,11,1,0,70.0,5.0,1
333,57995,4,21,0,0,64.0,2.0,1
334,76317,3,4,1,0,49.0,4.0,1
335,32169,3,18,0,0,47.0,1.0,1
336,22403,5,22,1,0,54.0,1.0,1
337,18775,7,14,0,0,58.0,3.0,1
338,7007,3,12,0,0,53.0,5.0,1
339,58836,5,1,0,0,67.0,4.0,1
340,67403,4,4,0,0,67.0,4.0,3
341,34371,1,4,0,0,75.0,5.0,2
342,17603,6,1,0,0,84.0,3.3454590756197833,1
343,72636,4,7,0,0,70.0,3.0,1
344,44193,3,7,0,0,49.0,3.3454590756197833,1
345,41162,3,7,0,0,51.0,5.0,1
346,42939,3,28,0,0,51.0,3.0,1
347,37227,7,6,0,0,58.0,4.0,1
348,34986,3,23,0,0,52.0,3.0,1
349,10473,5,4,0,0,57.0,5.0,1
350,42833,7,19,0,0,57.0,3.0,1
351,39224,1,12,0,1,95.0,5.0,1
352,34148,4,3,1,0,70.0,4.0,1
353,65558,2,23,0,0,52.0,3.0,1
354,63986,7,14,0,0,57.0,3.0,1
355,31641,6,4,1,0,81.0,3.0,1
356,45087,3,19,0,0,50.0,5.0,1
357,63354,1,4,0,0,79.0,3.0,1
358,41610,4,33,0,0,70.0,3.0,3
359,10376,6,19,0,0,86.0,3.0,1
360,11414,7,12,0,0,59.0,4.0,1
361,32884,3,4,1,0,47.0,4.0,2
362,71007,1,1,0,0,82.0,3.0,1
363,43891,6,1,0,0,88.0,2.0,1
364,26769,8,3,0,0,59.0,3.0,1
365,23022,7,2,0,0,70.0,2.0,1
366,56684,7,6,0,0,62.0,4.0,3
367,24951,7,23,1,0,58.0,4.0,1
368,8810,7,4,1,0,60.0,4.0,1
369,77266,6,23,1,0,89.0,3.3454590756197833,1
370,33334,3,7,0,0,52.0,4.0,1
371,29911,6,2,1,1,85.0,1.0,1
372,42142,7,28,0,0,58.0,3.0,1
373,29467,3,12,0,0,47.0,3.0,1
374,11784,4,8,0,0,66.0,3.0,1
375,29776,7,7,0,0,56.0,5.0,1
376,10563,8,11,0,0,60.0,4.0,1
377,6736,7,7,0,0,54.0,2.0,1
378,441,3,4,1,0,54.0,5.0,1
379,14980,5,7,1,0,60.0,5.0,3
380,13549,3,10,0,0,48.0,3.0,1
381,1348,6,7,0,0,90.0,3.0,1
382,14948,1,23,0,0,82.0,1.0,1
383,12723,3,12,0,0,50.0,3.3454590756197833,1
384,22827,3,6,0,0,51.0,3.0,1
385,30527,4,10,0,0,72.0,1.0,1
386,38928,3,21,0,0,50.0,1.0,2
387,17420,3,13,0,0,51.0,3.0,1
388,72878,4,9,0,0,70.0,3.0,1
389,43657,3,1,0,0,50.0,4.0,1
390,38588,4,7,0,0,67.0,3.0,1
391,55236,8,4,1,0,57.0,5.0,1
392,339,3,3,1,0,46.0,5.0,1
393,30270,7,4,1,0,64.0,5.0,1
394,52076,3,23,0,0,55.0,1.0,1
395,36458,3,2,1,0,46.0,3.0,1
396,27999,6,32,1,0,86.0,5.0,1
397,57114,7,7,0,0,62.0,3.0,1
398,25603,1,8,0,0,75.0,4.0,1
399,71930,2,22,1,0,50.0,5.0,1
400,23945,3,4,1,1,48.0,3.0,1
401,22469,6,22,0,0,85.0,5.0,1
402,34891,7,5,0,0,58.0,1.0,1
403,17506,1,6,1,0,82.0,5.0,2
404,32124,6,31,0,0,87.0,1.0,1
405,48160,6,19,0,0,87.0,1.0,1
406,30792,3,2,1,0,49.0,3.0,1
407,76840,3,1,1,0,47.0,5.0,1
408,27844,5,4,0,0,56.0,3.0,3
409,32595,3,23,0,0,49.0,1.0,1
410,68808,3,4,0,0,47.0,3.3454590756197833,1
411,66391,3,6,1,0,47.0,4.0,1
412,18212,3,30,0,1,51.0,3.0,4
413,51051,3,18,0,0,60.0,4.0,1
414,60375,5,4,0,0,74.0,5.0,1
415,8495,3,3,0,0,54.0,1.0,1
416,61193,8,7,1,0,63.0,3.3454590756197833,1
417,18612,3,7,0,0,48.0,3.3454590756197833,1
418,50665,4,8,0,0,72.0,4.0,1
419,50512,1,6,0,0,82.0,4.0,1
420,6621,7,30,0,0,59.0,4.0,1
421,10992,2,7,1,0,45.0,5.0,1
422,10742,3,20,0,0,57.0,3.0,1
423,33326,1,19,0,0,81.0,2.0,1
424,28711,5,23,1,0,54.0,5.0,1
425,16466,7,23,0,0,63.0,5.0,1
426,71692,3,18,0,0,43.0,4.0,1
427,60158,7,8,1,0,62.0,3.3454590756197833,1
428,5296,3,22,0,0,47.0,1.0,1
429,1415,1,4,0,0,76.0,3.3454590756197833,1
430,376,9,8,1,1,86.0,3.0,1
431,11139,4,4,1,0,68.0,5.0,1
432,21667,1,30,0,0,80.0,1.0,1
433,52771,3,25,0,0,46.0,4.0,1
434,30283,6,21,0,0,88.0,5.0,1
435,33431,3,25,0,0,49.0,3.0,1
436,10860,9,6,1,0,85.0,3.0,1
437,76614,1,28,0,0,83.0,3.3454590756197833,1
438,52246,3,4,1,1,45.0,2.0,1
439,16337,4,29,0,0,68.0,3.0,1
440,21160,1,1,1,0,94.0,5.0,1
441,30888,7,4,0,0,64.0,1.0,1
442,41543,7,19,0,0,60.0,3.0,1
443,68619,1,14,0,0,80.0,4.0,1
444,46124,3,24,1,0,54.0,3.3454590756197833,1
445,9454,4,21,1,0,67.0,3.0,2
446,48316,3,4,1,0,51.0,5.0,1
447,61103,1,4,0,0,78.0,4.0,1
448,46772,9,7,0,0,84.0,4.0,1
449,62688,3,31,0,0,45.0,4.0,1
450,53821,1,4,1,0,80.0,3.3454590756197833,3
451,67083,3,11,0,0,52.0,4.0,1
452,10508,7,2,1,0,64.0,5.0,2
453,42182,6,5,1,0,81.0,4.0,1
454,51295,7,7,0,0,71.0,5.0,2
455,26017,4,6,0,0,70.0,2.0,1
456,38656,7,23,0,0,62.0,1.0,1
457,1210,3,8,0,0,46.0,3.0,2
458,52205,1,30,0,0,77.0,2.0,1
459,18776,7,8,1,0,58.0,5.0,1
460,39588,7,31,0,0,55.0,4.0,1
461,2066,1,4,0,0,81.0,3.0,1
462,7952,2,4,0,0,52.0,4.0,1
463,28286,7,11,0,0,54.0,1.0,1
464,15837,3,7,0,0,45.0,5.0,2
465,41908,3,27,1,0,50.0,4.0,1
466,28766,3,28,0,0,46.0,1.0,1
467,35922,7,4,0,0,60.0,3.0,1
468,44582,7,6,0,0,61.0,3.3454590756197833,2
469,42485,1,3,1,0,81.0,5.0,1
470,71289,6,23,0,0,83.0,3.3454590756197833,1
471,47556,3,26,1,0,52.0,5.0,1
472,27264,4,4,1,0,66.0,3.3454590756197833,1
473,50266,6,28,1,0,86.0,5.0,1
474,77122,7,22,0,0,63.0,5.0,1
475,45635,3,6,0,0,44.0,3.0,2
476,57502,4,11,0,0,74.0,4.0,1
477,26262,3,18,0,0,56.0,3.0,1
478,74374,7,9,0,0,59.0,3.0,1
479,34661,6,7,1,0,84.0,2.0,1
480,38450,4,4,1,0,71.0,5.0,1
481,31134,3,3,1,0,54.0,4.0,1
482,27968,7,4,0,0,57.0,4.0,2
483,36271,1,32,0,0,76.0,2.0,1
484,3316,8,4,0,0,58.0,3.0,1
485,35219,3,1,0,0,51.0,3.0,1
486,52701,7,29,0,0,60.0,3.0,2
487,8654,7,5,0,0,60.0,4.0,1
488,7551,1,3,0,0,83.0,2.0,2
489,18778,7,4,0,0,63.0,5.0,1
490,74667,3,4,0,0,49.0,3.0,1
491,57527,6,15,0,0,86.0,4.0,2
492,1726,3,14,0,0,48.0,3.0,1
493,60191,7,7,0,0,60.0,5.0,1
494,30623,3,8,1,0,53.0,2.0,1
495,67366,4,4,1,0,68.0,3.0,3
496,38917,3,33,0,0,49.0,4.0,1
497,15689,9,7,1,0,86.0,5.0,1
498,18286,4,4,1,0,66.0,3.0,1
499,63660,4,19,1,0,70.0,3.0,1
500,32232,3,4,0,0,49.0,4.0,1
501,56976,3,23,0,0,47.0,3.0,1
502,64644,7,33,1,0,61.0,5.0,1
503,39204,6,10,1,0,83.0,4.0,1
504,47141,3,3,0,0,52.0,5.0,1
505,26883,6,12,0,0,87.0,5.0,3
506,9890,5,4,0,0,60.0,3.3454590756197833,3
507,50095,3,19,0,0,49.0,3.0,1
508,16145,3,6,0,0,51.0,3.0,1
509,24190,1,4,0,0,78.0,3.0,1
510,17777,3,2,0,0,53.0,3.0,1
511,3339,1,4,0,0,78.0,3.0,1
512,11436,6,27,0,0,82.0,3.0,1
513,40457,3,4,1,0,55.0,4.0,1
514,4730,1,1,1,0,85.0,4.0,1
515,10380,8,7,0,0,57.0,1.0,1
516,6891,6,7,0,0,82.0,4.0,1
517,40575,4,21,0,0,70.0,3.0,1
518,60937,1,4,0,0,82.0,3.0,1
519,50037,6,4,0,0,82.0,1.0,1
520,3066,3,21,0,0,49.0,4.0,1
521,18712,7,19,0,0,56.0,1.0,1
522,68494,7,2,0,0,57.0,3.0,1
523,74119,3,25,1,0,48.0,5.0,1
524,76254,4,7,0,0,73.0,3.0,4
525,49402,3,23,0,0,50.0,4.0,1
526,8141,1,4,0,0,77.0,2.0,1
527,3076,7,1,1,0,58.0,4.0,1
528,14390,1,16,0,0,78.0,3.0,1
529,66964,4,21,0,0,72.0,3.0,2
530,67091,1,1,0,0,84.0,1.0,1
531,13164,1,21,1,0,82.0,3.0,1
532,21190,3,19,0,0,51.0,1.0,3
533,21432,7,20,0,0,62.0,5.0,2
534,2096,3,7,0,0,52.0,4.0,3
535,53808,3,3,0,0,46.0,5.0,1
536,9751,3,27,1,0,50.0,3.3454590756197833,2
537,59105,7,19,1,0,57.0,5.0,1
538,76796,4,4,1,0,70.0,5.0,1
539,49192,1,7,0,0,77.0,3.0,1
540,45888,7,7,0,0,56.0,3.0,1
541,12492,7,31,0,0,60.0,3.3454590756197833,1
542,72963,7,7,0,0,57.0,3.0,2
543,53303,7,4,1,0,64.0,4.0,1
544,53081,2,4,0,0,46.0,3.0,1
545,23930,3,22,0,0,51.0,1.0,1
546,51938,7,19,0,0,61.0,1.0,1
547,29280,3,3,0,0,52.0,1.0,1
548,7689,3,7,0,0,48.0,5.0,1
549,16924,7,3,0,1,75.0,5.0,2
550,40162,6,23,0,0,85.0,3.3454590756197833,1
551,8648,3,14,0,0,47.0,5.0,1
552,57036,3,7,1,0,44.0,2.0,1
553,69859,3,4,1,0,46.0,1.0,1
554,31492,6,25,1,0,85.0,3.0,1
555,3964,3,8,1,0,49.0,2.0,1
556,20962,6,29,1,0,85.0,3.0,2
557,16434,7,7,0,0,61.0,5.0,1
558,28860,1,4,0,0,81.0,3.0,1
559,28665,3,3,0,0,54.0,1.0,1
560,1561,2,8,0,0,54.0,4.0,1
561,72856,7,17,0,0,58.0,3.0,1
562,28596,3,7,0,0,52.0,2.0,2
563,52840,7,15,0,0,59.0,3.0,1
564,73807,4,4,0,0,70.0,4.0,1
565,1089,2,1,0,0,50.0,5.0,1
566,20345,6,27,1,0,83.0,5.0,2
567,59325,3,6,0,0,49.0,5.0,1
568,45294,1,4,1,0,76.0,4.0,1
569,61412,3,2,0,0,53.0,2.0,1
570,29033,6,19,1,0,91.0,4.0,1
571,41735,3,33,0,0,45.0,3.0,2
572,64996,6,7,1,0,84.0,3.0,1
573,10388,3,29,0,0,50.0,3.3454590756197833,1
574,20001,7,4,1,0,61.0,3.0,1
575,47942,3,23,0,0,50.0,1.0,1
576,5232,2,7,1,0,52.0,1.0,1
577,7097,2,7,0,0,50.0,3.0,1
578,61335,3,22,0,0,46.0,5.0,2
579,61360,9,7,0,0,87.0,4.0,1
580,429,4,29,1,0,65.0,3.3454590756197833,1
581,54187,3,18,0,0,53.0,3.0,1
582,18493,6,6,0,0,82.0,5.0,1
583,23130,3,33,0,0,46.0,4.0,1
584,16180,3,17,0,0,46.0,1.0,1
585,5133,9,7,1,0,77.0,5.0,2
586,54456,5,7,1,0,59.0,3.0,1
587,62197,3,16,0,0,51.0,5.0,1
588,50861,7,7,0,0,63.0,4.0,1
589,40356,7,19,1,0,58.0,4.0,1
590,68967,6,2,1,0,85.0,5.0,1
591,49181,5,12,0,0,59.0,4.0,1
592,19572,7,7,1,0,62.0,5.0,1
